"","Target Name","#Plasmideos","#Morfologia","#Patch_clamp","variable","value"
"386","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","SLC17A6",40.8520011902
"387","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","SLC17A6",32.2260017395
"388","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","SLC17A6",34.0060005188
"389","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","SLC17A6",31.1469993591
"390","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","SLC17A6",40.9350013733
"391","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","SLC17A6",32.577999115
"392","CT cell#4","GFP Dsred","Fibroblastoide","Nao","PVALB",34.8950004578
"393","CT cell#1","GFP Dsred","Fibroblastoide","Nao","PVALB",35.763999939
"394","CT cell#3","GFP Dsred","Fibroblastoide","Nao","PVALB",36.0200004578
"395","CT cell#9","GFP Dsred","Fibroblastoide","Nao","PVALB",32.6069984436
"396","CT cell#10","GFP Dsred","Fibroblastoide","Nao","PVALB",32.4589996338
"397","CT cell#14","GFP Dsred","Fibroblastoide","Nao","PVALB",36.9070014954
"398","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",35.0719985962
"399","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",35.4329986572
"400","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",33.6069984436
"401","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",33.5480003357
"402","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",33.3600006104
"403","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","PVALB",28.9039993286
"404","CT cell#22","Neurog2 + Sox2","None","Nao","PVALB",34.6220016479
"405","CT cell#24","Neurog2 + Sox2","Alterado","Nao","PVALB",34.2309989929
"406","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","PVALB",27.9039993286
"407","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","PVALB",34.7280006409
"408","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","PVALB",33.5530014038
"409","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","PVALB",34.6269989014
"410","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","PVALB",34.1640014648
"411","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","PVALB",33.2599983215
"412","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","PVALB",34.0270004272
"413","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","PVALB",33.4550018311
"414","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","PVALB",34.0870018005
"415","CT cell#4","GFP Dsred","Fibroblastoide","Nao","SYN1",46.0009994507
"416","CT cell#1","GFP Dsred","Fibroblastoide","Nao","SYN1",NA
"417","CT cell#3","GFP Dsred","Fibroblastoide","Nao","SYN1",47.6300010681
"418","CT cell#9","GFP Dsred","Fibroblastoide","Nao","SYN1",33.0600013733
"419","CT cell#10","GFP Dsred","Fibroblastoide","Nao","SYN1",30.4239997864
"420","CT cell#14","GFP Dsred","Fibroblastoide","Nao","SYN1",47.3499984741
"421","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",39.7540016174
"422","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",44.7039985657
"423","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",49.3730010986
"424","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",46.0540008545
"425","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",49.8260002136
"426","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","SYN1",46.1180000305
"427","CT cell#22","Neurog2 + Sox2","None","Nao","SYN1",41.0289993286
"428","CT cell#24","Neurog2 + Sox2","Alterado","Nao","SYN1",46.0730018616
"429","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","SYN1",39.6759986877
"430","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","SYN1",43.7140007019
"431","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","SYN1",46.6570014954
"432","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","SYN1",42.9650001526
"433","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","SYN1",44.6839981079
"434","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","SYN1",44.5060005188
"435","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","SYN1",48.1360015869
"436","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","SYN1",47.8400001526
"437","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","SYN1",30.577999115
"438","CT cell#4","GFP Dsred","Fibroblastoide","Nao","GAPDH",33.6949996948
"439","CT cell#1","GFP Dsred","Fibroblastoide","Nao","GAPDH",30.2099990845
"440","CT cell#3","GFP Dsred","Fibroblastoide","Nao","GAPDH",29.7299995422
"441","CT cell#9","GFP Dsred","Fibroblastoide","Nao","GAPDH",29.8339996338
"442","CT cell#10","GFP Dsred","Fibroblastoide","Nao","GAPDH",40.0099983215
"443","CT cell#14","GFP Dsred","Fibroblastoide","Nao","GAPDH",38.6349983215
"444","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",32.3839988708
"445","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",28.267999649
"446","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",30.658000946
"447","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",26.6240005493
"448","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",30.638999939
"449","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","GAPDH",29.6730003357
"450","CT cell#22","Neurog2 + Sox2","None","Nao","GAPDH",27.7789993286
"451","CT cell#24","Neurog2 + Sox2","Alterado","Nao","GAPDH",31.2229995728
"452","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","GAPDH",30.1959991455
"453","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","GAPDH",31.9890003204
"454","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","GAPDH",35.9900016785
"455","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","GAPDH",40.5260009766
"456","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","GAPDH",29.7140007019
"457","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","GAPDH",41.3979988098
"458","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","GAPDH",28.9330005646
"459","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","GAPDH",43.8860015869
"460","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","GAPDH",29.8059997559
"461","CT cell#4","GFP Dsred","Fibroblastoide","Nao","TH",44.5120010376
"462","CT cell#1","GFP Dsred","Fibroblastoide","Nao","TH",NA
"463","CT cell#3","GFP Dsred","Fibroblastoide","Nao","TH",NA
"464","CT cell#9","GFP Dsred","Fibroblastoide","Nao","TH",38.3839988708
"465","CT cell#10","GFP Dsred","Fibroblastoide","Nao","TH",45.8019981384
"466","CT cell#14","GFP Dsred","Fibroblastoide","Nao","TH",35.783000946
"467","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","TH",42.2540016174
"468","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","TH",41.5379981995
"469","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","TH",46.5229988098
"470","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","TH",NA
"471","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","TH",47.7350006104
"472","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","TH",31.6270008087
"473","CT cell#22","Neurog2 + Sox2","None","Nao","TH",27.2119998932
"474","CT cell#24","Neurog2 + Sox2","Alterado","Nao","TH",36.9760017395
"475","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","TH",NA
"476","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","TH",31.0949993134
"477","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","TH",38.9640007019
"478","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","TH",45.3969993591
"479","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","TH",49.1090011597
"480","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","TH",NA
"481","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","TH",42.5800018311
"482","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","TH",NA
"483","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","TH",29.2800006866
"484","CT cell#4","GFP Dsred","Fibroblastoide","Nao","FEZF2",40.1660003662
"485","CT cell#1","GFP Dsred","Fibroblastoide","Nao","FEZF2",39.3040008545
"486","CT cell#3","GFP Dsred","Fibroblastoide","Nao","FEZF2",38.3520011902
"487","CT cell#9","GFP Dsred","Fibroblastoide","Nao","FEZF2",33.3619995117
"488","CT cell#10","GFP Dsred","Fibroblastoide","Nao","FEZF2",33.033000946
"489","CT cell#14","GFP Dsred","Fibroblastoide","Nao","FEZF2",39.5279998779
"490","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",NA
"491","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",38.4160003662
"492","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",34.0830001831
"493","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",38.03099823
"494","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",42.0660018921
"495","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","FEZF2",37.716999054
"496","CT cell#22","Neurog2 + Sox2","None","Nao","FEZF2",30.077999115
"497","CT cell#24","Neurog2 + Sox2","Alterado","Nao","FEZF2",46.2099990845
"498","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","FEZF2",36.7050018311
"499","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","FEZF2",40.7750015259
"500","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","FEZF2",39.6539993286
"501","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","FEZF2",32.313999176
"502","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","FEZF2",34.138999939
"503","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","FEZF2",36.9889984131
"504","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","FEZF2",36.686000824
"505","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","FEZF2",43.625
"506","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","FEZF2",29.2420005798
"507","CT cell#4","GFP Dsred","Fibroblastoide","Nao","ATOH8",41.0979995728
"508","CT cell#1","GFP Dsred","Fibroblastoide","Nao","ATOH8",39.7869987488
"509","CT cell#3","GFP Dsred","Fibroblastoide","Nao","ATOH8",38.0089988708
"510","CT cell#9","GFP Dsred","Fibroblastoide","Nao","ATOH8",38.9910011292
"511","CT cell#10","GFP Dsred","Fibroblastoide","Nao","ATOH8",42.5029983521
"512","CT cell#14","GFP Dsred","Fibroblastoide","Nao","ATOH8",39.2220001221
"513","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",40.3059997559
"514","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",42.5029983521
"515","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",43.5029983521
"516","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",43.1360015869
"517","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",39.1879997253
"518","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","ATOH8",42.2379989624
"519","CT cell#22","Neurog2 + Sox2","None","Nao","ATOH8",29.8269996643
"520","CT cell#24","Neurog2 + Sox2","Alterado","Nao","ATOH8",31.1089992523
"521","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","ATOH8",39.2150001526
"522","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","ATOH8",41.9580001831
"523","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","ATOH8",43.6510009766
"524","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","ATOH8",40.9589996338
"525","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","ATOH8",43.8689994812
"526","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","ATOH8",44.5789985657
"527","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","ATOH8",43.9739990234
"528","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","ATOH8",43.3089981079
"529","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","ATOH8",40.7070007324
"530","CT cell#4","GFP Dsred","Fibroblastoide","Nao","HGDC",43.888999939
"531","CT cell#1","GFP Dsred","Fibroblastoide","Nao","HGDC",40.7109985352
"532","CT cell#3","GFP Dsred","Fibroblastoide","Nao","HGDC",29.2409992218
"533","CT cell#9","GFP Dsred","Fibroblastoide","Nao","HGDC",36.5839996338
"534","CT cell#10","GFP Dsred","Fibroblastoide","Nao","HGDC",35.3829994202
"535","CT cell#14","GFP Dsred","Fibroblastoide","Nao","HGDC",34.3670005798
"536","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",38.8339996338
"537","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",45.2610015869
"538","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",28.783000946
"539","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",44.7550010681
"540","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",37.5120010376
"541","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","HGDC",43.716999054
"542","CT cell#22","Neurog2 + Sox2","None","Nao","HGDC",35.1360015869
"543","CT cell#24","Neurog2 + Sox2","Alterado","Nao","HGDC",39.7490005493
"544","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","HGDC",28.3309993744
"545","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","HGDC",29.0079994202
"546","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","HGDC",41.0989990234
"547","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","HGDC",29.4769992828
"548","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","HGDC",43.4710006714
"549","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","HGDC",43.5810012817
"550","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","HGDC",40.6529998779
"551","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","HGDC",47.0120010376
"552","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","HGDC",42.7820014954
"553","CT cell#4","GFP Dsred","Fibroblastoide","Nao","TPH2",NA
"554","CT cell#1","GFP Dsred","Fibroblastoide","Nao","TPH2",NA
"555","CT cell#3","GFP Dsred","Fibroblastoide","Nao","TPH2",30.1280002594
"556","CT cell#9","GFP Dsred","Fibroblastoide","Nao","TPH2",NA
"557","CT cell#10","GFP Dsred","Fibroblastoide","Nao","TPH2",NA
"558","CT cell#14","GFP Dsred","Fibroblastoide","Nao","TPH2",NA
"559","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",NA
"560","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",NA
"561","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",42.938999176
"562","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",NA
"563","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",45.7529983521
"564","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","TPH2",NA
"565","CT cell#22","Neurog2 + Sox2","None","Nao","TPH2",29.9640007019
"566","CT cell#24","Neurog2 + Sox2","Alterado","Nao","TPH2",NA
"567","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","TPH2",NA
"568","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","TPH2",NA
"569","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","TPH2",40.7369995117
"570","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","TPH2",35.6730003357
"571","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","TPH2",42.908000946
"572","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","TPH2",46.4259986877
"573","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","TPH2",47.0219993591
"574","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","TPH2",NA
"575","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","TPH2",41.6769981384
"576","CT cell#4","GFP Dsred","Fibroblastoide","Nao","BCL11B",47.5320014954
"577","CT cell#1","GFP Dsred","Fibroblastoide","Nao","BCL11B",NA
"578","CT cell#3","GFP Dsred","Fibroblastoide","Nao","BCL11B",42.7649993896
"579","CT cell#9","GFP Dsred","Fibroblastoide","Nao","BCL11B",NA
"580","CT cell#10","GFP Dsred","Fibroblastoide","Nao","BCL11B",NA
"581","CT cell#14","GFP Dsred","Fibroblastoide","Nao","BCL11B",40.7779998779
"582","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",40.3219985962
"583","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",41.8740005493
"584","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",32.7919998169
"585","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",44.2470016479
"586","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",31.5569992065
"587","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","BCL11B",43.3660011292
"588","CT cell#22","Neurog2 + Sox2","None","Nao","BCL11B",43.7010002136
"589","CT cell#24","Neurog2 + Sox2","Alterado","Nao","BCL11B",42.7550010681
"590","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","BCL11B",NA
"591","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","BCL11B",37.3530006409
"592","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","BCL11B",NA
"593","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","BCL11B",38.5849990845
"594","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","BCL11B",37.5460014343
"595","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","BCL11B",41.966999054
"596","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","BCL11B",35.702999115
"597","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","BCL11B",37.7960014343
"598","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","BCL11B",NA
"599","CT cell#4","GFP Dsred","Fibroblastoide","Nao","HCN1",37.1269989014
"600","CT cell#1","GFP Dsred","Fibroblastoide","Nao","HCN1",37.3759994507
"601","CT cell#3","GFP Dsred","Fibroblastoide","Nao","HCN1",42.1310005188
"602","CT cell#9","GFP Dsred","Fibroblastoide","Nao","HCN1",37.1339988708
"603","CT cell#10","GFP Dsred","Fibroblastoide","Nao","HCN1",35.6119995117
"604","CT cell#14","GFP Dsred","Fibroblastoide","Nao","HCN1",42.983001709
"605","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",37.1150016785
"606","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",39.625
"607","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",39.7480010986
"608","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",38.7599983215
"609","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",36.2200012207
"610","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","HCN1",37.2099990845
"611","CT cell#22","Neurog2 + Sox2","None","Nao","HCN1",39.486000061
"612","CT cell#24","Neurog2 + Sox2","Alterado","Nao","HCN1",37.9140014648
"613","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","HCN1",36.1209983826
"614","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","HCN1",40.5439987183
"615","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","HCN1",35.4809989929
"616","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","HCN1",41.7760009766
"617","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","HCN1",35.7220001221
"618","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","HCN1",37.8079986572
"619","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","HCN1",34.9819984436
"620","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","HCN1",41.8470001221
"621","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","HCN1",36.8359985352
"622","CT cell#4","GFP Dsred","Fibroblastoide","Nao","PPC",19.6900005341
"623","CT cell#1","GFP Dsred","Fibroblastoide","Nao","PPC",19.8330001831
"624","CT cell#3","GFP Dsred","Fibroblastoide","Nao","PPC",19.9130001068
"625","CT cell#9","GFP Dsred","Fibroblastoide","Nao","PPC",20.422000885
"626","CT cell#10","GFP Dsred","Fibroblastoide","Nao","PPC",20.3010005951
"627","CT cell#14","GFP Dsred","Fibroblastoide","Nao","PPC",20.3579998016
"628","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",20.1000003815
"629","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",19.3999996185
"630","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",19.716999054
"631","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",20.3959999084
"632","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",20.2560005188
"633","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","PPC",19.9130001068
"634","CT cell#22","Neurog2 + Sox2","None","Nao","PPC",19.8719997406
"635","CT cell#24","Neurog2 + Sox2","Alterado","Nao","PPC",19.4409999847
"636","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","PPC",19.9920005798
"637","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","PPC",20.6319999695
"638","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","PPC",20.2259998322
"639","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","PPC",20.3789997101
"640","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","PPC",20.0380001068
"641","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","PPC",20.2129993439
"642","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","PPC",20.4090003967
"643","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","PPC",20.5230007172
"644","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","PPC",20.2549991608
"645","CT cell#4","GFP Dsred","Fibroblastoide","Nao","NT5E",NA
"646","CT cell#1","GFP Dsred","Fibroblastoide","Nao","NT5E",31.2460002899
"647","CT cell#3","GFP Dsred","Fibroblastoide","Nao","NT5E",38.0550003052
"648","CT cell#9","GFP Dsred","Fibroblastoide","Nao","NT5E",NA
"649","CT cell#10","GFP Dsred","Fibroblastoide","Nao","NT5E",NA
"650","CT cell#14","GFP Dsred","Fibroblastoide","Nao","NT5E",NA
"651","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",NA
"652","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",37.2120018005
"653","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",38.8730010986
"654","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",40.1520004272
"655","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",NA
"656","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","NT5E",46.0970001221
"657","CT cell#22","Neurog2 + Sox2","None","Nao","NT5E",42.5410003662
"658","CT cell#24","Neurog2 + Sox2","Alterado","Nao","NT5E",31.3180007935
"659","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","NT5E",36.1209983826
"660","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","NT5E",48.6319999695
"661","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","NT5E",NA
"662","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","NT5E",NA
"663","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","NT5E",37.4729995728
"664","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","NT5E",NA
"665","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","NT5E",33.2859992981
"666","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","NT5E",38.0859985352
"667","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","NT5E",29.4619998932
"668","CT cell#4","GFP Dsred","Fibroblastoide","Nao","SST",40.1969985962
"669","CT cell#1","GFP Dsred","Fibroblastoide","Nao","SST",40.4350013733
"670","CT cell#3","GFP Dsred","Fibroblastoide","Nao","SST",30.5009994507
"671","CT cell#9","GFP Dsred","Fibroblastoide","Nao","SST",35.6160011292
"672","CT cell#10","GFP Dsred","Fibroblastoide","Nao","SST",35.2439994812
"673","CT cell#14","GFP Dsred","Fibroblastoide","Nao","SST",40.9900016785
"674","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","SST",42.2319984436
"675","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","SST",47.0480003357
"676","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","SST",30.6539993286
"677","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","SST",35.8829994202
"678","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","SST",30.4750003815
"679","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","SST",27.5529994965
"680","CT cell#22","Neurog2 + Sox2","None","Nao","SST",24.1739997864
"681","CT cell#24","Neurog2 + Sox2","Alterado","Nao","SST",39.7989997864
"682","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","SST",35.9049987793
"683","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","SST",44.5289993286
"684","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","SST",29.8969993591
"685","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","SST",38.5760002136
"686","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","SST",43.2089996338
"687","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","SST",30.1660003662
"688","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","SST",34.6739997864
"689","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","SST",42.158000946
"690","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","SST",31.4659996033
"691","CT cell#4","GFP Dsred","Fibroblastoide","Nao","SCN1A",38.7849998474
"692","CT cell#1","GFP Dsred","Fibroblastoide","Nao","SCN1A",34.8930015564
"693","CT cell#3","GFP Dsred","Fibroblastoide","Nao","SCN1A",43.141998291
"694","CT cell#9","GFP Dsred","Fibroblastoide","Nao","SCN1A",36.2519989014
"695","CT cell#10","GFP Dsred","Fibroblastoide","Nao","SCN1A",43.8129997253
"696","CT cell#14","GFP Dsred","Fibroblastoide","Nao","SCN1A",48.1990013123
"697","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","SCN1A",43.3880004883
"698","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","SCN1A",40.2719993591
"699","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","SCN1A",41.7270011902
"700","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","SCN1A",35.7569999695
